PDB	ChainID	Name	Title	Type	Function	label_asym_id	Residue_seq_id
9KDG	F	FK5	Tacro	Other	Cofactor	I	F:1201
9KDG	A	CA	Calcium ion	Ion	Cofactor	C, D, E, F	A:1701, A:1702, A:1703, A:1704
9KDG	A	ZN	Zinc ion	Ion	Cofactor	H	A:1706
9KDG	A	FE	Fe (iii) ion	Ion		G	A:1705
9KUV	R	CLR	Cholesterol	Lipid	Cofactor	D	R:402
9KUW	Q, R	CLR	Cholesterol	Lipid	Cofactor	F, G	Q:402, R:401
9L42	A	CLR	Cholesterol	Lipid	Cofactor	F	A:401
9LL9	R	CLR	Cholesterol	Lipid	Cofactor	F	R:502
9LLB	R	CLR	Cholesterol	Lipid	Cofactor	E	R:501
9LLJ	R	PLM	Palmitic acid	Lipid	Cofactor	J, K	R:702, R:703
9LQT	A, B	CLR	Cholesterol	Lipid	Cofactor	D, E, F, G, H, I, J, K, M, N, O, P, Q, R, S, T	A:402, A:403, A:404, A:405, A:406, A:407, A:408, A:409, B:402, B:403, B:404, B:405, B:406, B:407, B:408, B:409
9LQT	A, B	PCF	Colfoscerili palmitas	Other	Cofactor	C, L	A:401, B:401
9M88	A, B	1DO	1-dodecanol	Other	Cofactor	G, H, K, L, S, T, U, V	A:403, A:404, A:407, A:408, B:405, B:406, B:407, B:408
9M88	A, B	A1EM1	Tetracosan-1-ol	Other	Cofactor	F, R	A:402, B:404
9M88	A, B	A1EQ8	Icosan-1-ol	Other	Cofactor	M, P, Y, Z	A:409, B:402, B:411, B:412
9M88	A, B	A1EM3	[(2r)-3-[2-azanylethoxy(oxidanyl)phosphoryl]oxy-2-decanoyloxy-propyl] dodecanoate	Other	Cofactor	I, J, W, X	A:405, A:406, B:409, B:410
9MD1	C, R	CLR	Cholesterol	Lipid	Cofactor	G, H, I, J, M, N, O, P	C:502, C:503, C:504, C:505, R:502, R:503, R:504, R:505
9NOT	A, B	NAG	D-glcnac	Other		C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R	B:901, B:902, B:903, B:904, B:905, B:906, B:907, B:908, A:901, A:902, A:903, A:904, A:905, A:906, A:907, A:908
9ODG	A	GTP	Guanosine-5'-triphosphate	Other	Cofactor	E	A:401
9ODJ	D	CLR	Cholesterol	Lipid	Cofactor	E	D:501
9ODJ	A	GTP	Guanosine-5'-triphosphate	Other	Cofactor	G	A:401
9ODJ	A	MG	Magnesium ion	Ion	Cofactor	H	A:402
9P1S	A	LMN	Lauryl maltose neopentyl glycol	Detergent		B	A:501
9P85	A	GTP	Guanosine-5'-triphosphate	Other	Cofactor	G	A:402
9P85	A	MG	Magnesium ion	Ion	Cofactor	F	A:401
9PU5	F, R	CLR	Cholesterol	Lipid	Cofactor	K, L, M, O, P, Q, R, S	R:401, R:402, R:403, F:401, F:402, F:403, F:404, F:405
9PUD	F, R	CLR	Cholesterol	Lipid	Cofactor	K, L, M, N	R:401, R:402, F:401, F:402
9PXU	R	NA	Sodium ion	Ion	Cofactor	G	R:502
9PY2	R	CLR	Cholesterol	Lipid	Cofactor	E, F	R:501, R:502
9PY2	A	VSN	5'-o-[(r)-hydroxy(thiophosphonooxy)phosphoryl]guanosine	Other	Cofactor	H	A:401
9RKI	A	CLR	Cholesterol	Lipid	Cofactor	I, J, Y	A:1208, A:1209, A:1224
9RKI	A	PLM	Palmitic acid	Lipid	Cofactor	K	A:1210
9RKI	A	ACM	Acetamide	Other	Cofactor	H	A:1207
9RKI	A	OLC	1-oleoyl-r-glycerol	Lipid		N, O, P, S, U, V, W	A:1213, A:1214, A:1215, A:1218, A:1220, A:1221, A:1222
9UAM	A	CLR	Cholesterol	Lipid	Cofactor	H, I	A:603, A:604
9UAM	A	Y01	Cholesterol hemisuccinate	Lipid		F	A:601
9UAN	A	CLR	Cholesterol	Lipid	Cofactor	H	A:603
9UAN	A	Y01	Cholesterol hemisuccinate	Lipid		F	A:601
9UXU	r	CLR	Cholesterol	Lipid	Cofactor	M, N	r:404, r:405
9UXU	r	Y01	Cholesterol hemisuccinate	Lipid		K, L	r:402, r:403
9UY3	R	CLR	Cholesterol	Lipid	Cofactor	F, G	R:601, R:602
9VB6	A	GTP	Guanosine-5'-triphosphate	Other	Cofactor	G	A:401
9VJ6	R	CLR	Cholesterol	Lipid	Cofactor	G, H	R:502, R:503
9VJ6	R	T7M	Phosphatidylinositol-4-phosphate	Other	Cofactor	I	R:504
9WQL	X, Y	CLR	Cholesterol	Lipid	Cofactor	N, O, P, Q, X, Y, Z	X:908, X:909, X:910, X:911, Y:2007, Y:2008, Y:2009
9WQL	X, Y	CL	Chloride ion	Ion		M, W	X:907, Y:2006
9WQL	X, Y	NAG	D-glcnac	Other		I, J, K, L, S, T, U, V	X:903, X:904, X:905, X:906, Y:2002, Y:2003, Y:2004, Y:2005
9WQM	X, Y	CLR	Cholesterol	Lipid	Cofactor	M, N, O, P, X, Y	X:2007, X:2008, X:2009, X:2010, Y:2007, Y:2008
9WQM	X, Y	CL	Chloride ion	Ion		L, W	X:2006, Y:2006
9WQM	X, Y	NAG	D-glcnac	Other		H, I, J, K, S, T, U, V	X:2002, X:2003, X:2004, X:2005, Y:2002, Y:2003, Y:2004, Y:2005
9WQN	X, Y	CLR	Cholesterol	Lipid	Cofactor	M, N, O, Q, X, Y, Z	X:2007, X:2008, X:2009, Y:3501, Y:3508, Y:3509, Y:3510
9WQN	X, Y	CL	Chloride ion	Ion		L, W	X:2006, Y:3507
9WQN	X, Y	NAG	D-glcnac	Other		H, I, J, K, S, T, U, V	X:2002, X:2003, X:2004, X:2005, Y:3503, Y:3504, Y:3505, Y:3506
9XHH	R	CLR	Cholesterol	Lipid	Cofactor	G	R:601
9XHI	R	CLR	Cholesterol	Lipid	Cofactor	G	R:601
10KT	A	NA	Sodium ion	Ion	Cofactor	B	A:1201
10KT	A	CLR	Cholesterol	Lipid	Cofactor	D, E, F	A:1203, A:1204, A:1205
10KT	A	OLA	Oleic acid	Lipid	Cofactor	AA, BA, CA, EA, FA, G, H, I, J, K, L, M, N, O, P, Q, R	A:1226, A:1227, A:1228, A:1230, A:1231, A:1206, A:1207, A:1208, A:1209, A:1210, A:1211, A:1212, A:1213, A:1214, A:1215, A:1216, A:1217
10KT	A	OLB	(2s)-2,3-dihydroxypropyl (9z)-octadec-9-enoate	Lipid		V	A:1221
10KT	A	OLC	1-oleoyl-r-glycerol	Lipid		DA, S, T, U, W, X	A:1229, A:1218, A:1219, A:1220, A:1222, A:1223
10TL	F, R	CLR	Cholesterol	Lipid	Cofactor	E, F, G, I, J, K, L, M	R:401, R:402, R:403, F:401, F:402, F:403, F:404, F:405
20ZL	A	GTP	Guanosine-5'-triphosphate	Other	Cofactor	F	A:401
22ES	R	CLR	Cholesterol	Lipid	Cofactor	G, H, I	R:401, R:402, R:403
22XC	C, G, R	CLR	Cholesterol	Lipid	Cofactor	G, I, K	C:401, G:401, R:401
22XC	C, G, R	D21	(2r)-1-(hexadecanoyloxy)-3-(phosphonooxy)propan-2-yl (9z)-octadec-9-enoate	Other	Cofactor	H, J, L	C:402, G:402, R:402
27TM	X, Y	CLR	Cholesterol	Lipid	Cofactor	I, Q	X:2007, Y:2007
27TM	X, Y	NAG	D-glcnac	Other		D, E, F, G, L, M, N, O	X:2002, X:2003, X:2004, X:2005, Y:2002, Y:2003, Y:2004, Y:2005
27TM	X, Y	CL	Chloride ion	Ion		H, P	X:2006, Y:2006
2I35	A	PLM	Palmitic acid	Lipid	Cofactor	E, F	A:1333, A:1334
2YCX	B	SOG	Octyl 1-thio-glucoside	Detergent		E, F, G	B:1360, B:1361, B:1362
2YCY	B	NA	Sodium ion	Ion	Cofactor	J	B:1363
2YCY	A, B	SOG	Octyl 1-thio-glucoside	Detergent		D, E, G, H, I	A:1360, A:1361, B:1360, B:1361, B:1362
2YCZ	B	SOG	Octyl 1-thio-glucoside	Detergent		E	B:1360
2YDO	A	SOG	Octyl 1-thio-glucoside	Detergent		C, D	A:501, A:502
2YDV	A	SOG	Octyl 1-thio-glucoside	Detergent		C, D, E, F, G	A:501, A:502, A:503, A:504, A:505
2ZIY	A	PLM	Palmitic acid	Lipid	Cofactor	C, D	A:381, A:382
3AYM	A	PLM	Palmitic acid	Lipid	Cofactor	C	A:1001
3AYM	B	PC1	3-sn-phosphatidylcholine	Other	Cofactor	G	B:1004
3AYM	A, B	BOG	Octyl glucoside	Detergent		D, H	A:1005, B:1005
3C9M	A	NAG	D-glcnac	Other		B	A:1335
3D4S	A	CLR	Cholesterol	Lipid	Cofactor	C, D	A:402, A:403
3D4S	A	OLC	1-oleoyl-r-glycerol	Lipid		E, F, G	A:404, A:405, A:406
3EML	A	STE	Stearic acid	Lipid	Cofactor	C, D, E, F, G	A:402, A:403, A:404, A:405, A:406
3NY8	A	CLR	Cholesterol	Lipid	Cofactor	B, C	A:1201, A:1202
3NY8	A	OLA	Oleic acid	Lipid	Cofactor	E	A:1204
3NY8	A	OLC	1-oleoyl-r-glycerol	Lipid		F, G	A:1205, A:1206
3NY9	A	CLR	Cholesterol	Lipid	Cofactor	B, C	A:1201, A:1202
3NY9	A	OLC	1-oleoyl-r-glycerol	Lipid		E	A:1204
3NYA	A	CLR	Cholesterol	Lipid	Cofactor	B, C	A:1201, A:1202
3PDS	A	CLR	Cholesterol	Lipid	Cofactor	C	A:1202
3PXO	A	PLM	Palmitic acid	Lipid	Cofactor	F	A:701
3PXO	A	BOG	Octyl glucoside	Detergent		D, E	A:601, A:602
3QAK	A	OLC	1-oleoyl-r-glycerol	Lipid		C, D	A:1201, A:1202
3RZE	A	OLC	1-oleoyl-r-glycerol	Lipid		G	A:1205
3UON	A	BGC	Glucose	Other	Cofactor	C	A:1163
3UON	A	CL	Chloride ion	Ion		D, E	A:1164, A:1165
3V2W	A	NAG	D-glcnac	Other		C	A:1202
3V2Y	A	NAG	D-glcnac	Other		C	A:1202
3VG9	A	STE	Stearic acid	Lipid	Cofactor	E, F, G, H, I, J	A:402, A:403, A:404, A:405, A:406, A:407
3VG9	A	LMT	Dodecyl-beta-d-maltoside	Detergent		K	A:408
3VW7	A	NA	Sodium ion	Ion	Cofactor	M	A:2012
3VW7	A	OLC	1-oleoyl-r-glycerol	Lipid		C, D, E, F, G, H, I, J, K	A:2002, A:2003, A:2004, A:2005, A:2006, A:2007, A:2008, A:2009, A:2010
3VW7	A	CL	Chloride ion	Ion		L	A:2011
3ZPQ	A, B	NA	Sodium ion	Ion	Cofactor	J, R, T	A:1360, B:1359, B:1361
3ZPQ	A, B	Y01	Cholesterol hemisuccinate	Lipid		C, D, K, L	A:401, A:402, B:401, B:402
3ZPQ	A, B	2CV	Hega-10	Detergent		E, F, G, H, M, N, O, P, Q	A:502, A:503, A:505, A:506, B:502, B:503, B:504, B:505, B:506
4AMI	A, B	2CV	Hega-10	Detergent		D, E, F, H, I	A:1360, B:1358, B:1359, B:1361, B:1362
4BEZ	A	ACT	Acetate ion	Other	Cofactor	C	A:1327
4BEZ	A	PLM	Palmitic acid	Lipid	Cofactor	E	A:1329
4BEZ	A	BOG	Octyl glucoside	Detergent		F	A:1334
4DJH	B	OLC	1-oleoyl-r-glycerol	Lipid		F, G	B:1302, B:1303
4IAR	A	OLB	(2s)-2,3-dihydroxypropyl (9z)-octadec-9-enoate	Lipid		C	A:2002
4IB4	A	CLR	Cholesterol	Lipid	Cofactor	D	A:2003
4IB4	A	OLA	Oleic acid	Lipid	Cofactor	I, J	A:2008, A:2009
4IB4	A	PLM	Palmitic acid	Lipid	Cofactor	C	A:2002
4IB4	A	OLC	1-oleoyl-r-glycerol	Lipid		E	A:2004
4IB4	A	OLB	(2s)-2,3-dihydroxypropyl (9z)-octadec-9-enoate	Lipid		F, G, H	A:2005, A:2006, A:2007
4JKV	A, B	OLA	Oleic acid	Lipid	Cofactor	G, H, O	A:605, A:606, B:604
4JKV	A, B	OLC	1-oleoyl-r-glycerol	Lipid		D, E, F, M, N	A:602, A:603, A:604, B:602, B:603
4LDE	A	NA	Sodium ion	Ion	Cofactor	D	A:1402
4LDE	A	1WV	(2s)-2,3-dihydroxypropyl (7z)-tetradec-7-enoate	Other	Cofactor	E	A:1403
4LDL	A	NA	Sodium ion	Ion	Cofactor	D	A:1402
4LDL	A	1WV	(2s)-2,3-dihydroxypropyl (7z)-tetradec-7-enoate	Other	Cofactor	E	A:1403
4LDO	A	1WV	(2s)-2,3-dihydroxypropyl (7z)-tetradec-7-enoate	Other	Cofactor	C	A:1401
4LDO	A	NA	Sodium ion	Ion	Cofactor	E, F	A:1403, A:1404
4N4W	A	ZN	Zinc ion	Ion	Cofactor	D, E	A:606, A:607
4N4W	A	OLC	1-oleoyl-r-glycerol	Lipid		F, G	A:608, A:609
4N6H	A	OLA	Oleic acid	Lipid	Cofactor	B, C, D, E, F, G, J, K, L, P, Q, R	A:1201, A:1202, A:1203, A:1204, A:1205, A:1206, A:1209, A:1210, A:1211, A:1215, A:1216, A:1217
4N6H	A	OLC	1-oleoyl-r-glycerol	Lipid		H, I, M, W, X	A:1207, A:1208, A:1212, A:1222, A:1223
4NC3	A	CLR	Cholesterol	Lipid	Cofactor	D	A:1203
4NC3	A	OLA	Oleic acid	Lipid	Cofactor	K, L, M	A:1210, A:1211, A:1212
4NC3	A	PLM	Palmitic acid	Lipid	Cofactor	B	A:1201
4NC3	A	DGA	Diacyl glycerol	Other	Cofactor	N, O	A:1213, A:1214
4NC3	A	OLC	1-oleoyl-r-glycerol	Lipid		E, F, H, I	A:1204, A:1205, A:1207, A:1208
4NTJ	A	CLR	Cholesterol	Lipid	Cofactor	C, D	A:1202, A:1203
4NTJ	A	OLC	1-oleoyl-r-glycerol	Lipid		E, F	A:1204, A:1205
4OO9	A	OLA	Oleic acid	Lipid	Cofactor	B, C, D, E	A:4001, A:4002, A:4003, A:4004
4OR2	A, B	CLR	Cholesterol	Lipid	Cofactor	D, E, F, G, O, P	A:1902, A:1903, A:1904, A:1905, B:1905, B:1906
4OR2	A	OLA	Oleic acid	Lipid	Cofactor	H	A:1906
4OR2	A, B	OLC	1-oleoyl-r-glycerol	Lipid		I, J, N	A:1907, A:1908, B:1904
4PHU	A	OLC	1-oleoyl-r-glycerol	Lipid		C, D, E, F, G	A:2402, A:2403, A:2404, A:2405, A:2406
4PXF	A	PLM	Palmitic acid	Lipid	Cofactor	H	A:408
4PXF	A	ACT	Acetate ion	Other	Cofactor	J	A:410
4PXF	A	BOG	Octyl glucoside	Detergent		E, F, G	A:405, A:406, A:407
4PXZ	A	CLR	Cholesterol	Lipid	Cofactor	C	A:1202
4PXZ	A	OLC	1-oleoyl-r-glycerol	Lipid		D, E, F	A:1203, A:1204, A:1205
4PY0	A	OLC	1-oleoyl-r-glycerol	Lipid		C, D	A:1202, A:1203
4QIM	A	ZN	Zinc ion	Ion	Cofactor	C	A:1202
4RWA	A	OLC	1-oleoyl-r-glycerol	Lipid		E	A:1201
4RWD	A, B	NA	Sodium ion	Ion	Cofactor	F, L	A:1202, B:1202
4RWD	A, B	OLA	Oleic acid	Lipid	Cofactor	E, G, J, K, M, N, P	A:1201, A:1203, A:1206, B:1201, B:1203, B:1204, B:1206
4RWD	A, B	OLC	1-oleoyl-r-glycerol	Lipid		H, I, O	A:1204, A:1205, B:1205
4S0V	A	OLA	Oleic acid	Lipid	Cofactor	C	A:2002
4UG2	A, B	OLB	(2s)-2,3-dihydroxypropyl (9z)-octadec-9-enoate	Lipid		C, E	A:1310, B:1306
4XEE	A	FLC	Citrate anion	Other	Cofactor	F	A:1204
4XNV	A	CLR	Cholesterol	Lipid	Cofactor	C	A:1102
4XNV	A	ZN	Zinc ion	Ion	Cofactor	P	A:1115
4XNV	A	Y01	Cholesterol hemisuccinate	Lipid		D, E, F	A:1103, A:1104, A:1105
4XNV	A	OLC	1-oleoyl-r-glycerol	Lipid		G, H, I, J, K, L, M, N	A:1106, A:1107, A:1108, A:1109, A:1110, A:1111, A:1112, A:1113
4XT1	A	CLR	Cholesterol	Lipid	Cofactor	D, E	A:401, A:402
4XT1	A	SIN	Succinic acid	Other	Cofactor	S	A:416
4XT1	A	OLC	1-oleoyl-r-glycerol	Lipid		F, G, H, I, J, K	A:403, A:404, A:405, A:406, A:407, A:408
4Z34	A	1WV	(2s)-2,3-dihydroxypropyl (7z)-tetradec-7-enoate	Other	Cofactor	C	A:2002
4Z35	A	1WV	(2s)-2,3-dihydroxypropyl (7z)-tetradec-7-enoate	Other	Cofactor	C	A:2002
4Z36	A	1WV	(2s)-2,3-dihydroxypropyl (7z)-tetradec-7-enoate	Other	Cofactor	C	A:2001
4Z9G	A, B, C	OLA	Oleic acid	Lipid	Cofactor	D, E, F, J, K, L, N, O, P, Q	A:1201, A:1202, A:1203, B:1201, B:1202, B:1203, C:1201, C:1202, C:1203, C:1204
4ZJ8	A	OLA	Oleic acid	Lipid	Cofactor	C, D, E, F, G, H	A:2002, A:2003, A:2004, A:2005, A:2006, A:2007
5C1M	A	CLR	Cholesterol	Lipid	Cofactor	E	A:403
5C1M	A	OLC	1-oleoyl-r-glycerol	Lipid		C, D	A:401, A:402
5CGC	A	OLA	Oleic acid	Lipid	Cofactor	B, C, D, E	A:4001, A:4002, A:4003, A:4004
5CGD	A	OLA	Oleic acid	Lipid	Cofactor	B, C, D, E	A:4001, A:4002, A:4003, A:4004
5D5B	A	CLR	Cholesterol	Lipid	Cofactor	F, G, H	A:1205, A:1206, A:1207
5D5B	A	PLM	Palmitic acid	Lipid	Cofactor	I	A:1208
5D5B	A	BU1	1,4-butanediol	Other	Cofactor	D	A:1203
5D5B	A	ACM	Acetamide	Other	Cofactor	E	A:1204
5D6L	A	CLR	Cholesterol	Lipid	Cofactor	M, N, O	A:1212, A:1213, A:1214
5D6L	A	PLM	Palmitic acid	Lipid	Cofactor	P	A:1215
5D6L	A	BU1	1,4-butanediol	Other	Cofactor	J, K	A:1209, A:1210
5D6L	A	ACM	Acetamide	Other	Cofactor	L	A:1211
5DYS	A	ACT	Acetate ion	Other	Cofactor	D, E	A:402, A:403
5DYS	A	PLM	Palmitic acid	Lipid	Cofactor	G, H	A:405, A:406
5DYS	A	BOG	Octyl glucoside	Detergent		F, I	A:404, A:412
5G53	C	GDP	Guanosine-5'-diphosphate	Other	Cofactor	I	C:400
5G53	A	SOG	Octyl 1-thio-glucoside	Detergent		F, G	A:501, A:502
5GLI	A	OLA	Oleic acid	Lipid	Cofactor	H	A:1207
5GLI	A	OLC	1-oleoyl-r-glycerol	Lipid		G, I	A:1206, A:1208
5IU4	A	NA	Sodium ion	Ion	Cofactor	B	A:2400
5IU4	A	CLR	Cholesterol	Lipid	Cofactor	D, E, F, G	A:2402, A:2403, A:2404, A:2405
5IU4	A	OLA	Oleic acid	Lipid	Cofactor	AA, H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V, W, X, Y, Z	A:2425, A:2406, A:2407, A:2408, A:2409, A:2410, A:2411, A:2412, A:2413, A:2414, A:2415, A:2416, A:2417, A:2418, A:2419, A:2420, A:2421, A:2422, A:2423, A:2424
5IU4	A	OLB	(2s)-2,3-dihydroxypropyl (9z)-octadec-9-enoate	Lipid		BA, CA, DA	A:2426, A:2427, A:2428
5IU4	A	OLC	1-oleoyl-r-glycerol	Lipid		EA, FA	A:2429, A:2430
5IU7	A	NA	Sodium ion	Ion	Cofactor	B	A:2400
5IU7	A	CLR	Cholesterol	Lipid	Cofactor	D, E, F, G	A:2402, A:2403, A:2404, A:2405
5IU7	A	OLA	Oleic acid	Lipid	Cofactor	H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V, W, X, Y	A:2406, A:2407, A:2408, A:2409, A:2410, A:2411, A:2412, A:2413, A:2414, A:2415, A:2416, A:2417, A:2418, A:2419, A:2420, A:2421, A:2422, A:2423
5IU7	A	OLB	(2s)-2,3-dihydroxypropyl (9z)-octadec-9-enoate	Lipid		AA, BA, CA, DA, EA, FA, Z	A:2425, A:2426, A:2427, A:2428, A:2429, A:2430, A:2424
5IU7	A	OLC	1-oleoyl-r-glycerol	Lipid		GA	A:2431
5IU8	A	NA	Sodium ion	Ion	Cofactor	B	A:2400
5IU8	A	CLR	Cholesterol	Lipid	Cofactor	E, F, G, H	A:2403, A:2404, A:2405, A:2406
5IU8	A	OLA	Oleic acid	Lipid	Cofactor	AA, I, J, K, L, M, N, O, P, Q, R, S, T, U, V, W, X, Y, Z	A:2425, A:2407, A:2408, A:2409, A:2410, A:2411, A:2412, A:2413, A:2414, A:2415, A:2416, A:2417, A:2418, A:2419, A:2420, A:2421, A:2422, A:2423, A:2424
5IU8	A	OLB	(2s)-2,3-dihydroxypropyl (9z)-octadec-9-enoate	Lipid		BA, CA	A:2426, A:2427
5IU8	A	OLC	1-oleoyl-r-glycerol	Lipid		DA, EA, FA, GA	A:2428, A:2429, A:2430, A:2431
5IUA	A	NA	Sodium ion	Ion	Cofactor	B	A:2400
5IUA	A	CLR	Cholesterol	Lipid	Cofactor	D, E, F, G	A:2402, A:2403, A:2404, A:2405
5IUA	A	OLA	Oleic acid	Lipid	Cofactor	H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V, W, X	A:2406, A:2407, A:2408, A:2409, A:2410, A:2411, A:2412, A:2413, A:2414, A:2415, A:2416, A:2417, A:2418, A:2419, A:2420, A:2421, A:2422
5IUA	A	OLB	(2s)-2,3-dihydroxypropyl (9z)-octadec-9-enoate	Lipid		AA, BA, CA, DA, EA, FA, Y, Z	A:2425, A:2426, A:2427, A:2428, A:2429, A:2430, A:2423, A:2424
5IUB	A	NA	Sodium ion	Ion	Cofactor	B	A:2400
5IUB	A	CLR	Cholesterol	Lipid	Cofactor	D, E, F	A:2402, A:2403, A:2404
5IUB	A	OLA	Oleic acid	Lipid	Cofactor	G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V	A:2405, A:2406, A:2407, A:2408, A:2409, A:2410, A:2411, A:2412, A:2413, A:2414, A:2415, A:2416, A:2417, A:2418, A:2419, A:2420
5IUB	A	OLB	(2s)-2,3-dihydroxypropyl (9z)-octadec-9-enoate	Lipid		AA, BA, CA, W, X, Y, Z	A:2425, A:2426, A:2427, A:2421, A:2422, A:2423, A:2424
5IUB	A	OLC	1-oleoyl-r-glycerol	Lipid		DA, EA	A:2428, A:2429
5JQH	A, B	CLR	Cholesterol	Lipid	Cofactor	F, H	A:1402, B:1402
5JTB	A	CLR	Cholesterol	Lipid	Cofactor	C, D, E	A:1202, A:1203, A:1204
5JTB	A	IOD	Iodide ion	Other	Cofactor	F, G, H, I, J, K	A:1205, A:1206, A:1207, A:1208, A:1209, A:1210
5JTB	A	OLA	Oleic acid	Lipid	Cofactor	N, O, P, Q	A:1213, A:1214, A:1215, A:1216
5JTB	A	OLC	1-oleoyl-r-glycerol	Lipid		R, S, T, U, V, W	A:1217, A:1218, A:1219, A:1220, A:1221, A:1222
5JTB	A	OLB	(2s)-2,3-dihydroxypropyl (9z)-octadec-9-enoate	Lipid		X	A:1223
5K2A	A	NA	Sodium ion	Ion	Cofactor	C	A:1202
5K2A	A	CLR	Cholesterol	Lipid	Cofactor	D, E, F	A:1203, A:1204, A:1205
5K2A	A	OLA	Oleic acid	Lipid	Cofactor	P, Q, R, S, T, U, V, W, X, Y	A:1215, A:1216, A:1217, A:1218, A:1219, A:1220, A:1221, A:1222, A:1223, A:1224
5K2A	A	OLC	1-oleoyl-r-glycerol	Lipid		AA, G, H, I, J, K, L, M, N, O	A:1226, A:1206, A:1207, A:1208, A:1209, A:1210, A:1211, A:1212, A:1213, A:1214
5K2B	A	NA	Sodium ion	Ion	Cofactor	C	A:1202
5K2B	A	CLR	Cholesterol	Lipid	Cofactor	D, E, F	A:1203, A:1204, A:1205
5K2B	A	OLA	Oleic acid	Lipid	Cofactor	N, O, P, Q, R, S, T, X	A:1213, A:1214, A:1215, A:1216, A:1217, A:1218, A:1219, A:1223
5K2B	A	OLB	(2s)-2,3-dihydroxypropyl (9z)-octadec-9-enoate	Lipid		G	A:1206
5K2B	A	OLC	1-oleoyl-r-glycerol	Lipid		H, I, J, K, L, M, U, V, W	A:1207, A:1208, A:1209, A:1210, A:1211, A:1212, A:1220, A:1221, A:1222
5K2D	A	NA	Sodium ion	Ion	Cofactor	C	A:1202
5K2D	A	CLR	Cholesterol	Lipid	Cofactor	D, E, F	A:1203, A:1204, A:1205
5K2D	A	OLA	Oleic acid	Lipid	Cofactor	AA, BA, N, O, P, Q, R, S, T, X, Y	A:1226, A:1227, A:1213, A:1214, A:1215, A:1216, A:1217, A:1218, A:1219, A:1223, A:1224
5K2D	A	OLB	(2s)-2,3-dihydroxypropyl (9z)-octadec-9-enoate	Lipid		G, K	A:1206, A:1210
5K2D	A	OLC	1-oleoyl-r-glycerol	Lipid		H, I, J, L, M, U, V, W	A:1207, A:1208, A:1209, A:1211, A:1212, A:1220, A:1221, A:1222
5LWE	A, B	OLA	Oleic acid	Lipid	Cofactor	AA, BA, CA, D, DA, E, EA, F, FA, G, GA, H, HA, I, J, K, L, M, N, O, P, Q, R, V, W, X, Y, Z	B:407, B:408, B:409, A:402, B:410, A:403, B:411, A:404, B:412, A:405, B:413, A:406, B:414, A:407, A:408, A:409, A:410, A:411, A:412, A:413, A:414, A:415, A:416, B:402, B:403, B:404, B:405, B:406
5LWE	A	CLR	Cholesterol	Lipid	Cofactor	S	A:417
5LWE	A, B	MLI	Malonate ion	Other	Cofactor	IA, T	B:415, A:418
5MZJ	A	NA	Sodium ion	Ion	Cofactor	B	A:2400
5MZJ	A	CLR	Cholesterol	Lipid	Cofactor	D, E, F	A:2402, A:2403, A:2404
5MZJ	A	OLA	Oleic acid	Lipid	Cofactor	AA, BA, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V, W, X, Y, Z	A:2425, A:2426, A:2405, A:2406, A:2407, A:2408, A:2409, A:2410, A:2411, A:2412, A:2413, A:2414, A:2415, A:2416, A:2417, A:2418, A:2419, A:2420, A:2421, A:2422, A:2423, A:2424
5MZJ	A	OLC	1-oleoyl-r-glycerol	Lipid		CA, DA, EA, FA, GA, HA, IA	A:2427, A:2428, A:2429, A:2430, A:2431, A:2432, A:2433
5MZP	A	NA	Sodium ion	Ion	Cofactor	B	A:2400
5MZP	A	CLR	Cholesterol	Lipid	Cofactor	D, E, F, G	A:2402, A:2403, A:2404, A:2405
5MZP	A	OLA	Oleic acid	Lipid	Cofactor	H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V, W, X, Y	A:2406, A:2407, A:2408, A:2409, A:2410, A:2411, A:2412, A:2413, A:2414, A:2415, A:2416, A:2417, A:2418, A:2419, A:2420, A:2421, A:2422, A:2423
5MZP	A	OLC	1-oleoyl-r-glycerol	Lipid		AA, BA, CA, DA, EA, FA, Z	A:2425, A:2426, A:2427, A:2428, A:2429, A:2430, A:2424
5N2R	A	NA	Sodium ion	Ion	Cofactor	B	A:2400
5N2R	A	CLR	Cholesterol	Lipid	Cofactor	D, E, F	A:2402, A:2403, A:2404
5N2R	A	OLA	Oleic acid	Lipid	Cofactor	AA, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V, W, X, Y, Z	A:2425, A:2405, A:2406, A:2407, A:2408, A:2409, A:2410, A:2411, A:2412, A:2413, A:2414, A:2415, A:2416, A:2417, A:2418, A:2419, A:2420, A:2421, A:2422, A:2423, A:2424
5N2R	A	OLC	1-oleoyl-r-glycerol	Lipid		BA, CA, DA, EA, FA	A:2426, A:2427, A:2428, A:2429, A:2430
5NDD	A	NA	Sodium ion	Ion	Cofactor	C	A:2202
5NLX	A	NA	Sodium ion	Ion	Cofactor	E	A:504
5NLX	A	CLR	Cholesterol	Lipid	Cofactor	G, H, I	A:506, A:507, A:508
5NLX	A	OLA	Oleic acid	Lipid	Cofactor	B, C, D	A:501, A:502, A:503
