,TargetId,Accession,Protein-Name,Entry-Name,FamilyId,Family-Name,Ligand-type,Primary-transducer,Secondary-transducer,Primary-effectors,Secondary-effectors
161,278,O95977,S1P4 receptor,s1pr4_human,135,Lysophospholipid (S1P) receptors,Lipid,"Gi/Go family, G12/G13 family",None,Adenylate cyclase inhibition,None
162,279,Q9H228,S1P5 receptor,s1pr5_human,135,Lysophospholipid (S1P) receptors,Lipid,"Gi/Go family, G12/G13 family",None,Adenylate cyclase inhibition,None
61,280,Q99705,MCH1 receptor,mchr1_human,37,Melanin-concentrating hormone receptors,Peptide,"Gs family, Gi/Go family, Gq/G11 family",None,"Adenylate cyclase inhibition, Phospholipase C stimulation",None
62,281,Q969V1,MCH2 receptor,mchr2_human,37,Melanin-concentrating hormone receptors,Peptide,Gq/G11 family,None,"Adenylate cyclase inhibition, Phospholipase C stimulation",None
63,282,Q01726,MC1 receptor,mshr_human,38,Melanocortin receptors,Peptide,Gs family,G protein (identity unknown),Adenylate cyclase stimulation,Other - See Comments
64,283,Q01718,MC2 receptor,acthr_human,38,Melanocortin receptors,Peptide,Gs family,G protein (identity unknown),Adenylate cyclase stimulation,Calcium channel
65,284,P41968,MC3 receptor,mc3r_human,38,Melanocortin receptors,Peptide,Gs family,G protein (identity unknown),Adenylate cyclase stimulation,Other - See Comments
66,285,P32245,MC4 receptor,mc4r_human,38,Melanocortin receptors,Peptide,Gs family,G protein (identity unknown),Adenylate cyclase stimulation,Other - See Comments
67,286,P33032,MC5 receptor,mc5r_human,38,Melanocortin receptors,Peptide,Gs family,G protein (identity unknown),Adenylate cyclase stimulation,Other - See Comments
178,287,P48039,MT1 receptor,mtr1a_human,39,Melatonin receptors,Melatonin,Gi/Go family,Gq/G11 family,Adenylate cyclase inhibition,"Phospholipase C stimulation, Potassium channel, Calcium channel"
179,288,P49286,MT2 receptor,mtr1b_human,39,Melatonin receptors,Melatonin,Gi/Go family,,"Adenylate cyclase inhibition, Phospholipase C stimulation",Other - See Comments
68,297,O43193,motilin receptor,mtlr_human,41,Motilin receptor,Peptide,"Gq/G11 family, G12/G13 family",None,Phospholipase C stimulation,None
69,298,Q9HB89,NMU1 receptor,nmur1_human,42,Neuromedin U receptors,Peptide,Gq/G11 family,None,Phospholipase C stimulation,None
70,299,Q9GZQ4,NMU2 receptor,nmur2_human,42,Neuromedin U receptors,Peptide,Gq/G11 family,None,Phospholipase C stimulation,None
71,300,Q9GZQ6,NPFF1 receptor,npff1_human,43,Neuropeptide FF/neuropeptide AF receptors,Peptide,Gi/Go family,None,"Adenylate cyclase inhibition, Calcium channel, Other - See Comments",None
72,301,Q9Y5X5,NPFF2 receptor,npff2_human,43,Neuropeptide FF/neuropeptide AF receptors,Peptide,Gi/Go family,None,"Adenylate cyclase inhibition, Calcium channel, Other - See Comments",None
73,302,Q6W5P4,NPS receptor,npsr1_human,44,Neuropeptide S receptor,Peptide,Gq/G11 family,Gs family,Phospholipase C stimulation,Adenylate cyclase stimulation
74,303,P48145,NPBW1 receptor,npbw1_human,45,Neuropeptide W/neuropeptide B receptors,Peptide,Gi/Go family,None,Adenylate cyclase inhibition,None
75,304,P48146,NPBW2 receptor,npbw2_human,45,Neuropeptide W/neuropeptide B receptors,Peptide,Gi/Go family,None,Adenylate cyclase inhibition,None
76,305,P25929,Y1 receptor,npy1r_human,46,Neuropeptide Y receptors,Peptide,Gi/Go family,None,Adenylate cyclase inhibition,None
77,306,P49146,Y2 receptor,npy2r_human,46,Neuropeptide Y receptors,Peptide,Gi/Go family,Gq/G11 family,"Adenylate cyclase inhibition, Calcium channel",Phospholipase C stimulation
78,307,P50391,Y4 receptor,npy4r_human,46,Neuropeptide Y receptors,Peptide,Gi/Go family,Gq/G11 family,Adenylate cyclase inhibition,Phospholipase C stimulation
79,308,Q15761,Y5 receptor,npy5r_human,46,Neuropeptide Y receptors,Peptide,Gi/Go family,None,Adenylate cyclase inhibition,None
81,309,P30989,NTS1 receptor,ntr1_human,47,Neurotensin receptors,Peptide,Gq/G11 family,"Gs family, Gi/Go family",Phospholipase C stimulation,"Adenylate cyclase stimulation, Adenylate cyclase inhibition, Guanylate cyclase stimulation, Other - See Comments"
82,310,O95665,NTS2 receptor,ntr2_human,47,Neurotensin receptors,Peptide,Gq/G11 family,,Phospholipase C stimulation,
194,311,Q9BXC0,HCA1 receptor,hcar1_human,48,Hydroxycarboxylic acid receptors,Alicarboxylic-acid,Gi/Go family,None,,None
195,312,Q8TDS4,HCA2 receptor,hcar2_human,48,Hydroxycarboxylic acid receptors,Alicarboxylic-acid,Gi/Go family,None,"Adenylate cyclase inhibition, Phospholipase A2 stimulation",None
196,313,P49019,HCA3 receptor,hcar3_human,48,Hydroxycarboxylic acid receptors,Alicarboxylic-acid,Gi/Go family,None,"Adenylate cyclase inhibition, Other - See Comments",None
133,314,O00590,ACKR2,ackr2_human,14,Chemokine receptors,Protein,Arrestin,None,None,None
135,315,Q9NPB9,ACKR4,ackr4_human,14,Chemokine receptors,Protein,None,None,None,None
132,316,Q16570,ACKR1,ackr1_human,14,Chemokine receptors,Protein,None,None,None,None
83,317,P41143,delta receptor,oprd_human,50,Opioid receptors,Peptide,Gi/Go family,None,"Adenylate cyclase inhibition, Phospholipase C stimulation, Potassium channel, Calcium channel, Other - See Comments",None
84,318,P41145,kappa receptor,oprk_human,50,Opioid receptors,Peptide,Gi/Go family,"Gi/Go family, G12/G13 family","Adenylate cyclase inhibition, Potassium channel, Calcium channel","Adenylate cyclase inhibition, Phospholipase C stimulation, Other - See Comments"
85,319,P35372,mu receptor,oprm_human,50,Opioid receptors,Peptide,Gi/Go family,Gq/G11 family,"Adenylate cyclase stimulation, Adenylate cyclase inhibition, Phospholipase C stimulation, Potassium channel, Calcium channel, Phospholipase A2 stimulation, Phospholipase D stimulation, Other - See Comments",Phospholipase C stimulation
86,320,P41146,NOP receptor,oprx_human,50,Opioid receptors,Peptide,Gi/Go family,Gi/Go family,"Adenylate cyclase inhibition, Potassium channel, Calcium channel, Other - See Comments",Adenylate cyclase inhibition
87,321,O43613,OX1 receptor,ox1r_human,51,Orexin receptors,Peptide,"Gs family, Gi/Go family, Gq/G11 family, G protein (identity unknown)",None,"Adenylate cyclase stimulation, Adenylate cyclase inhibition, Phospholipase C stimulation, Phospholipase A2 stimulation, Other - See Comments",None
88,322,O43614,OX2 receptor,ox2r_human,51,Orexin receptors,Peptide,"Gs family, Gi/Go family, Gq/G11 family, G protein (identity unknown)",None,"Adenylate cyclase stimulation, Adenylate cyclase inhibition, Phospholipase C stimulation, Other - See Comments",None
184,323,P47900,P2Y1 receptor,p2ry1_human,52,P2Y receptors,Nucleotide,Gq/G11 family,Gi/Go family,Phospholipase C stimulation,Potassium channel
185,324,P41231,P2Y2 receptor,p2ry2_human,52,P2Y receptors,Nucleotide,Gq/G11 family,"Gi/Go family, G12/G13 family",Phospholipase C stimulation,Other - See Comments
186,325,P51582,P2Y4 receptor,p2ry4_human,52,P2Y receptors,Nucleotide,Gq/G11 family,,Phospholipase C stimulation,Phospholipase A2 stimulation
187,326,Q15077,P2Y6 receptor,p2ry6_human,52,P2Y receptors,Nucleotide,Gq/G11 family,G12/G13 family,Phospholipase C stimulation,Other - See Comments
188,327,Q96G91,P2Y11 receptor,p2y11_human,52,P2Y receptors,Nucleotide,Gq/G11 family,Gs family,Phospholipase C stimulation,Adenylate cyclase stimulation
189,328,Q9H244,P2Y12 receptor,p2y12_human,52,P2Y receptors,Nucleotide,Gi/Go family,,Adenylate cyclase inhibition,"Adenylate cyclase inhibition, Other - See Comments"
190,329,Q9BPV8,P2Y13 receptor,p2y13_human,52,P2Y receptors,Nucleotide,Gi/Go family,,Adenylate cyclase inhibition,Other - See Comments
191,330,Q15391,P2Y14 receptor,p2y14_human,52,P2Y receptors,Nucleotide,Gi/Go family,Gi/Go family,Adenylate cyclase inhibition,Phospholipase C stimulation
89,333,Q96P65,QRFP receptor,qrfpr_human,54,QRFP receptor,Peptide,"Gi/Go family, Gq/G11 family",None,"Adenylate cyclase inhibition, Phospholipase C stimulation",None
168,334,P25105,PAF receptor,ptafr_human,55,Platelet-activating factor receptor,Lipid,"Gi/Go family, Gq/G11 family, G protein independent mechanism",None,"Adenylate cyclase stimulation, Other - See Comments",None
140,335,Q8TCW9,PKR1,pkr1_human,56,Prokineticin receptors,Protein,Gq/G11 family,Gs family,Phospholipase C stimulation,Adenylate cyclase stimulation
141,336,Q8NFJ6,PKR2,pkr2_human,56,Prokineticin receptors,Protein,Gq/G11 family,"Gs family, Gi/Go family",Phospholipase C stimulation,"Adenylate cyclase stimulation, Other - See Comments"
90,337,P49683,PrRP receptor,prlhr_human,57,Prolactin-releasing peptide receptor,Peptide,Gq/G11 family,None,None,None
169,338,Q13258,DP1 receptor,pd2r_human,58,Prostanoid receptors,Lipid,Gs family,None,Adenylate cyclase stimulation,None
170,339,Q9Y5Y4,DP2 receptor,pd2r2_human,58,Prostanoid receptors,Lipid,Gi/Go family,None,Adenylate cyclase inhibition,None
171,340,P34995,EP1 receptor,pe2r1_human,58,Prostanoid receptors,Lipid,Gq/G11 family,Gi/Go family,Other - See Comments,Adenylate cyclase inhibition
172,341,P43116,EP2 receptor,pe2r2_human,58,Prostanoid receptors,Lipid,Gs family,None,Adenylate cyclase stimulation,None
173,342,P43115,EP3 receptor,pe2r3_human,58,Prostanoid receptors,Lipid,Gi/Go family,Gq/G11 family,Adenylate cyclase inhibition,Phospholipase C stimulation
174,343,P35408,EP4 receptor,pe2r4_human,58,Prostanoid receptors,Lipid,Gs family,Gi/Go family,Adenylate cyclase stimulation,Other - See Comments
175,344,P43088,FP receptor,pf2r_human,58,Prostanoid receptors,Lipid,Gq/G11 family,Gs family,Phospholipase C stimulation,
176,345,P43119,IP receptor,pi2r_human,58,Prostanoid receptors,Lipid,Gs family,"Gi/Go family, Gq/G11 family",Adenylate cyclase stimulation,"Adenylate cyclase inhibition, Phospholipase C stimulation"
177,346,P21731,TP receptor,ta2r_human,58,Prostanoid receptors,Lipid,Gq/G11 family,None,Phospholipase C stimulation,None
91,347,P25116,PAR1,par1_human,59,Proteinase-activated receptors,Peptide,"Gi/Go family, Gq/G11 family, G12/G13 family",None,None,None
92,348,P55085,PAR2,par2_human,59,Proteinase-activated receptors,Peptide,"Gi/Go family, Gq/G11 family",None,None,None
93,349,O00254,PAR3,par3_human,59,Proteinase-activated receptors,Peptide,None,None,None,None
94,350,Q96RI0,PAR4,par4_human,59,Proteinase-activated receptors,Peptide,"Gi/Go family, Gq/G11 family",None,None,None
95,351,Q9HBX9,RXFP1 receptor,rxfp1_human,60,Relaxin family peptide receptors,Peptide,"Gs family, Gi/Go family","Gs family, Gi/Go family","Adenylate cyclase stimulation, Adenylate cyclase inhibition","Guanylate cyclase stimulation, Other - See Comments"
96,352,Q8WXD0,RXFP2 receptor,rxfp2_human,60,Relaxin family peptide receptors,Peptide,"Gs family, Gi/Go family",None,"Adenylate cyclase stimulation, Adenylate cyclase inhibition",None
97,353,Q9NSD7,RXFP3 receptor,rl3r1_human,60,Relaxin family peptide receptors,Peptide,Gi/Go family,None,"Adenylate cyclase inhibition, Other - See Comments",None
98,354,Q8TDU9,RXFP4 receptor,rl3r2_human,60,Relaxin family peptide receptors,Peptide,Gi/Go family,Gi/Go family,Adenylate cyclase inhibition,"Calcium channel, Other - See Comments"
99,355,P30872,sst1 receptor,ssr1_human,61,Somatostatin receptors,Peptide,Gi/Go family,G protein (identity unknown),Adenylate cyclase inhibition,Other - See Comments
100,356,P30874,sst2 receptor,ssr2_human,61,Somatostatin receptors,Peptide,"Gi/Go family, G protein independent mechanism, G protein (identity unknown)","Gi/Go family, Gq/G11 family, G protein independent mechanism, G protein (identity unknown)","Adenylate cyclase inhibition, Potassium channel, Calcium channel, Other - See Comments","Adenylate cyclase stimulation, Phospholipase C stimulation, Potassium channel, Calcium channel, Phospholipase D stimulation, Other - See Comments"
101,357,P32745,sst3 receptor,ssr3_human,61,Somatostatin receptors,Peptide,Gi/Go family,"Gq/G11 family, G protein (identity unknown)",Adenylate cyclase inhibition,Phospholipase C stimulation
102,358,P31391,sst4 receptor,ssr4_human,61,Somatostatin receptors,Peptide,Gi/Go family,"Gi/Go family, G protein (identity unknown)",Adenylate cyclase inhibition,"Potassium channel, Calcium channel, Other - See Comments"
103,359,P35346,sst5 receptor,ssr5_human,61,Somatostatin receptors,Peptide,Gi/Go family,"Gi/Go family, Gq/G11 family",Adenylate cyclase inhibition,"Phospholipase C stimulation, Potassium channel, Calcium channel"
104,360,P25103,NK1 receptor,nk1r_human,62,Tachykinin receptors,Peptide,"Gs family, Gq/G11 family",None,"Adenylate cyclase stimulation, Phospholipase C stimulation",None
105,361,P21452,NK2 receptor,nk2r_human,62,Tachykinin receptors,Peptide,"Gs family, Gq/G11 family",None,"Adenylate cyclase stimulation, Phospholipase C stimulation",None
106,362,P29371,NK3 receptor,nk3r_human,62,Tachykinin receptors,Peptide,Gq/G11 family,None,Phospholipase C stimulation,None
107,363,P34981,TRH1 receptor,trfr_human,63,Thyrotropin-releasing hormone receptors,Peptide,Gq/G11 family,None,Phospholipase C stimulation,None
35,364,Q96RJ0,TA1 receptor,taar1_human,64,Trace amine receptor,Aminergic,Gs family,Gq/G11 family,Adenylate cyclase stimulation,
108,365,Q9UKP6,UT receptor,ur2r_human,65,Urotensin receptor,Peptide,Gq/G11 family,None,Phospholipase C stimulation,None
109,366,P37288,V1A receptor,v1ar_human,66,Vasopressin and oxytocin receptors,Peptide,Gq/G11 family,None,Phospholipase C stimulation,None
110,367,P47901,V1B receptor,v1br_human,66,Vasopressin and oxytocin receptors,Peptide,Gq/G11 family,None,Phospholipase C stimulation,None
111,368,P30518,V2 receptor,v2r_human,66,Vasopressin and oxytocin receptors,Peptide,Gs family,None,Adenylate cyclase stimulation,None
112,369,P30559,OT receptor,oxyr_human,66,Vasopressin and oxytocin receptors,Peptide,Gq/G11 family,Gi/Go family,Phospholipase C stimulation,Adenylate cyclase inhibition
284,637,Q14439,GPR176,gp176_human,16,Class A Orphans,Orphan,None,None,None,None
80,683,Q99463,y6 receptor,npy6r_human,46,Neuropeptide Y receptors,Peptide,Gi/Go family,None,None,None
203,2758,Q9UHM6,Melanopsin,opn4_human,16,Class A Orphans,Sensory,"Gi/Go family, Gq/G11 family",None,"Adenylate cyclase inhibition, Phospholipase C stimulation",None
