,Drug Name,Drug Class,LigandType,ModeOfAction,DrugAliases,TargetCategory,Gene,EntryName,Uniprot,Class,Target class,Subfamily,Target_novelty,INDEX,Trial name,Indication(s),Phase,PhaseDate,ClinicalStatus,Status,Approval,Note,PMID
201,chlorpromazine,small molecule,Aminergic ,antagonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,ASH_Sep2016_59,chlorpromazine,psychosis,4,,-,approved,1957,,11103886|11873706|15694263|16867246|11752352|20643630|7908055|8524985
202,chlorprothixene,small molecule,Aminergic ,antagonist,,primary,HTR2B,5ht2b_human,P41595,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,NRDD096,-,schizophrenia,4,,-,approved,1967,,17139284|17016423
203,chlorprothixene,small molecule,Aminergic ,antagonist,,primary,HTR2C,5ht2c_human,P28335,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,NRDD096,-,schizophrenia,4,,-,approved,1967,,17139284|17016423
204,chlorprothixene,small molecule,Aminergic ,antagonist,,primary,DRD1,drd1_human,P21728,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,NRDD096,-,schizophrenia,4,,-,approved,1967,,17139284|17016423|1830565
205,chlorprothixene,small molecule,Aminergic ,antagonist,,primary,DRD3,drd3_human,P35462,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,NRDD096,-,schizophrenia,4,,-,approved,1967,,17139284|17016423|1830565
206,chlorprothixene,small molecule,Aminergic ,antagonist,,primary,HTR2A,5ht2a_human,P28223,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,NRDD096,-,schizophrenia,4,,-,approved,1967,,3774629|2891550
207,chlorprothixene,small molecule,Aminergic ,antagonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,NRDD096,-,schizophrenia,4,,-,approved,1967,,8101879|1830565|19091563|11752352
208,chorionic gonadotropin,protein,Protein,agonist,,primary,LHCGR,lshr_human,P22888,Class A (Rhodopsin),GPCR;Rhodopsin,Glycoprotein hormone receptors,established,1756,"r-hcg,ovidrel",Antineoplastic,4,,-,approved,1973,,20836886
209,chorionic gonadotropin,protein,Protein,agonist,,primary,LHCGR,lshr_human,P22888,Class A (Rhodopsin),GPCR;Rhodopsin,Glycoprotein hormone receptors,established,1904,"stem,ntx-265",stroke,4,,-,approved,1973,,20836886
210,chorionic gonadotropin,protein,Protein,agonist,,primary,LHCGR,lshr_human,P22888,Class A (Rhodopsin),GPCR;Rhodopsin,Glycoprotein hormone receptors,established,NRDD099,-,Fertility,4,,-,approved,1973,,20836886
211,cimetidine,small molecule,Aminergic ,antagonist,,primary,HRH2,hrh2_human,P25021,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,MMAmay2016_0601,"tl-118, hamsa-1, cyclophosphamide + diclofenac + sulfasalazine + cimetidine",Antihistamines,4,,-,approved,1977,,11752352|10950107|8863950|16723495
212,cimetidine,small molecule,Aminergic ,antagonist,,primary,HRH2,hrh2_human,P25021,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,NRDD104,-,GI Anti-Ulcer ; antihistamines,4,,-,approved,1977,,11752352|10950107|8863950|16723495
213,cinacalcet,small molecule,Ion ,PAM,,primary,CASR,casr_human,P41180,Class C (Glutamate) ,GPCR;Glutamate,Calcium-sensing receptors,established,2327,"cinacalcet hcl, amg 073,sensipar",hyperparathyroidism,4,,-,approved,2004,,15794735|15864123|15884662|16030053|16109140|19461861|19261825|19181759|19056615|11752352
214,cinacalcet,small molecule,Ion ,PAM,,primary,CASR,casr_human,P41180,Class C (Glutamate) ,GPCR;Glutamate,Calcium-sensing receptors,established,NRDD105,-,Calcimimetics,4,,-,approved,2004,,15794735|15864123|15884662|16030053|16109140|19461861|19261825|19181759|19056615|11752352
215,cinitapride,small molecule,Aminergic ,antagonist,,primary,HTR2A,5ht2a_human,P28223,Class A (Rhodopsin),GPCR;Rhodopsin,Vasopressin and oxytocin receptors,established,ASH_Oct2016_414,cinitapride,gastrointestinal disorders,4,,-,approved,-,,9211565|9562338
216,cinitapride,small molecule,Aminergic ,agonist,,primary,HTR1A,5ht1a_human,P08908,Class A (Rhodopsin),GPCR;Rhodopsin,Gonadotrophin-releasing hormone receptors,established,ASH_Oct2016_415,cinitapride,gastrointestinal disorders,4,,-,approved,-,,9211565|9562338
217,cinnarizine,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,NRDD107,-,Anti-Allergic,4,,-,approved,1989,,11752352|2866055
218,cisapride,small molecule,Aminergic ,agonist,,primary,HTR4,5ht4r_human,Q13639,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,NRDD109,-,Parasympathomimetics,4,,-,approved,1993,,10027842|10328995|10556228|11034583|11218067|11752352
219,clemastine,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,NRDD112,-,Anti-Allergic,4,,-,approved,1977,,11752352|2890562|6701456|6387510|1678430|7513381|4074605|6449094|1266718|8930778
220,clenbuterol,small molecule,Aminergic ,agonist,,primary,ADRB2,adrb2_human,P07550,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD113,-,Bronchodilator,4,,-,approved,-,Not approved in US,11720783|12388476|1322047|1685013|17449161|11752352
221,clidinium,small molecule,Aminergic ,antagonist,,primary,CHRM1,acm1_human,P11229,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD114,-,GI Anti-Ulcer ; anticholinergic; Antispasmodics,4,,-,approved,2013,,17139284|17016423|11752352
222,clofedanol,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Oct2016_397,clofedanol,antitussive,4,,-,approved,1987,,17139284|17016423|11752352|2905706
223,clonidine,small molecule,Aminergic ,agonist,,primary,ADRA2B,ada2b_human,P18089,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,501,"clonidine hydrochloride extended release,kapvay, jenloga xr (clonibid)",diabetic neuropathy; ADHD; antimucositic,4,,-,approved,1974,,28715875
224,clonidine,small molecule,Aminergic ,agonist,,primary,ADRA2C,ada2c_human,P18825,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,501,"clonidine hydrochloride extended release,kapvay, jenloga xr (clonibid)",diabetic neuropathy; ADHD; antimucositic,4,,-,approved,1974,,28715875
225,clonidine,small molecule,Aminergic ,agonist,,primary,ADRA2A,ada2a_human,P08913,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,501,"clonidine hydrochloride extended release,kapvay, jenloga xr (clonibid)",diabetic neuropathy; ADHD; antimucositic,4,,-,approved,1974,,11752127|12357167|15306201|14757140|12098614
226,clopidogrel,small molecule,Nucleotide ,antagonist,,primary,P2RY12,p2y12_human,Q9H244,Class A (Rhodopsin),GPCR;Rhodopsin,P2Y receptors,established,478,cgt-2168,antiplatelet,4,,-,approved,1997,,14668029|15199474|15269827|15291969|15308557|11752352|19463375|16835302|12615691
227,clopidogrel,small molecule,Nucleotide ,antagonist,,primary,P2RY12,p2y12_human,Q9H244,Class A (Rhodopsin),GPCR;Rhodopsin,P2Y receptors,established,1619,plavix,antithrombotic,4,,-,approved,1997,,14668029|15199474|15269827|15291969|15308557|11752352|19463375|16835302|12615691
228,clozapine,small molecule,Aminergic ,antagonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,NRDD120,-,schizophrenia,4,,-,approved,1989,,12769622|14575800|15286066|15781964|16040180|11752352
229,clozapine,small molecule,Aminergic ,antagonist,,primary,HTR2A,5ht2a_human,P28223,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,NRDD120,-,schizophrenia,4,,-,approved,1989,,12973385|14530903|14687870|14751426|15037867|7520908
230,cocaine,small molecule,Aminergic ,agonist,,primary,DRD3,drd3_human,P35462,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,NRDD123,-,local anesthetic,4,,-,approved,1982,,15351386
231,cocaine,small molecule,Peptide,agonist,,primary,OPRK1,oprk_human,P41145,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,NRDD123,-,local anesthetic,4,,-,approved,1982,,15351386|2840298
232,codeine,small molecule,Peptide,agonist,,primary,OPRM1,oprm_human,P35372,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,NRDD124,-,Analgesics,4,,-,approved,2009,,15509185|17620111|8306082|11752352
233,codeine,small molecule,Peptide,agonist,,primary,OPRD1,oprd_human,P41143,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,NRDD124,-,Analgesics,4,,-,approved,2009,,16386786|7885194|12067475|8119316|2156065|11752352
234,codeine,small molecule,Peptide,agonist,,primary,OPRK1,oprk_human,P41145,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,NRDD124,-,Analgesics,4,,-,approved,2009,,17139284|17016423|17620111|7885194
235,conivaptan,small molecule,Peptide,antagonist,,primary,AVPR2,v2r_human,P30518,Class A (Rhodopsin),GPCR;Rhodopsin,Vasopressin and oxytocin receptors,established,519,"conivaptan, ym-087,vaprisol",hyponatremia,4,,-,approved,2005,,11752352|15659304|16843091|17919259|17202666|17592003|19695403|16522696|19057376|20054444|17428103|19663609
236,conivaptan,small molecule,Peptide,antagonist,,primary,AVPR1A,v1ar_human,P37288,Class A (Rhodopsin),GPCR;Rhodopsin,Vasopressin and oxytocin receptors,established,519,"conivaptan, ym-087,vaprisol",hyponatremia,4,,-,approved,2005,,11752352|17919259|17202666|17592003|19695403|16522696|19057376|20054444|17428103|19663609
237,corticorelin ovine triflutate,small molecule,Aminergic ,agonist,,primary,CRHR1,crfr1_human,P34998,Class A (Rhodopsin),GPCR;Secretin,5-Hydroxytryptamine receptors,established,ASH_Oct2016_409,corticorelin ovine triflutate,Diagnostic,4,,-,approved,1996,endogenous ligand,20809121
238,cosyntropin,peptide,Peptide,agonist,,primary,MC2R,acthr_human,Q01718,Class A (Rhodopsin),GPCR;Rhodopsin,Melanocortin receptors,established,NRDD128,-,Diagnostic,4,,-,approved,1970,,15710205|2156274|20562554|11752352
239,cromolyn sodium,small molecule,Orphan ,agonist,chromoglycate ,primary,GPR35,gpr35_human,Q9HC97,Class A (Rhodopsin),GPCR;Rhodopsin,Class A orphans,established,MMA_jun2017_010,cromolyn sodium,anti-allergenic,4,-,-,approved,2000,,20559017
240,cyclizine,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,NRDD130,-,Antiemetics,4,,-,approved,1982,,11752352|1983158
241,cyclobenzaprine,small molecule,Aminergic ,antagonist,,primary,HTR2A,5ht2a_human,P28223,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,2489,"cyclobenzaprine hydrochloride extended-release capsules,amrix",Muscle Relaxants,4,,-,approved,1977,,12498911|8884233
242,cyclobenzaprine,small molecule,Aminergic ,antagonist,,primary,HTR2A,5ht2a_human,P28223,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,NRDD131,-,Anti-depressant,4,,-,approved,1977,,12498911|8884233
243,cyclopentolate,small molecule,Aminergic ,antagonist,,primary,CHRM1,acm1_human,P11229,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD132,-,Mydriatics,4,,-,approved,1974,,17139284|17016423
244,cycrimine,small molecule,Aminergic ,antagonist,,primary,CHRM1,acm1_human,P11229,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD134,-,Antiparkinson,4,,-,approved,1982,,17139284|17016423|1267542|11752352
245,cyproheptadine,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,NRDD135,-,Anti-Allergic ; Appetite Stimulant,4,,-,approved,1961,,11752352
246,cyproheptadine,small molecule,Aminergic ,antagonist,,primary,HTR2A,5ht2a_human,P28223,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,NRDD135,-,Anti-Allergic ; Appetite Stimulant,4,,-,approved,1961,,12233819|12498911|1358088|1403790|16418149
247,danazol,small molecule,Peptide,agonist,,primary,GNRHR2,gnrr2_human,Q96P88,Class A (Rhodopsin),GPCR;Rhodopsin,Gonadotrophin-releasing hormone receptors,established,2297,optina,diabetic macular edema,4,,-,approved,1976,,2404115
248,danazol,small molecule,Peptide,agonist,,primary,GNRHR2,gnrr2_human,Q96P88,Class A (Rhodopsin),GPCR;Rhodopsin,Gonadotrophin-releasing hormone receptors,established,NRDD139,-,Antiendometriosis ; Antineoplastic,4,,-,approved,1976,,2404115
249,danazol,small molecule,Peptide,agonist,,primary,GNRHR,gnrhr_human,P30968,Class A (Rhodopsin),GPCR;Rhodopsin,Gonadotrophin-releasing hormone receptors,established,2297,optina,diabetic macular edema,4,,-,approved,1976,,14571621|3004220|14605254|2404115
250,danazol,small molecule,Peptide,agonist,,primary,GNRHR,gnrhr_human,P30968,Class A (Rhodopsin),GPCR;Rhodopsin,Gonadotrophin-releasing hormone receptors,established,NRDD139,-,Antiendometriosis ; Antineoplastic,4,,-,approved,1976,,14571621|3004220|14605254|2404115
251,dapiprazole,small molecule,Aminergic ,antagonist,,primary,ADRA1B,ada1b_human,P35368,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD141,-,opthalmological,4,,-,approved,1990,,17139284|17016423
252,dapiprazole,small molecule,Aminergic ,antagonist,,primary,ADRA1D,ada1d_human,P25100,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD141,-,opthalmological,4,,-,approved,1990,,17139284|17016423
253,dapiprazole,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD141,-,opthalmological,4,,-,approved,1990,,17139284|17016423|9401944
254,darifenacin,small molecule,Aminergic ,antagonist,,primary,CHRM3,acm3_human,P20309,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,598,"darifenacin,enablex, emselex",overactive bladder,4,,-,approved,2004,,20395537|19416629|18046909|11752352
255,degarelix,small molecule,Peptide,antagonist,,primary,GNRHR,gnrhr_human,P30968,Class A (Rhodopsin),GPCR;Rhodopsin,Gonadotrophin-releasing hormone receptors,established,610,degarelix,Antineoplastic,4,,-,approved,2008,,20110043|20053189|19450172|15705170
256,desipramine,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,NRDD148,-,Anti-depressant,4,,-,approved,1964,,10467920|7855217
257,desloratadine,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,620,"desloratadine , clarinex",Anti-Allergic,4,,-,approved,2001,,15564772|7581058|8174605|11752352|18336052|17902729|12642846|18797058
258,desmopressin,peptide,Peptide,not available,,primary,AVPR1A,v1ar_human,P37288,Class A (Rhodopsin),GPCR;Rhodopsin,Vasopressin and oxytocin receptors,established,1537,"nocdurna,  desmopressin",Antidiuretic,4,,-,approved,1978,,10731046|10594321|8957254|15613460
259,desmopressin,peptide,Peptide,not available,,primary,AVPR1B,v1br_human,P47901,Class A (Rhodopsin),GPCR;Rhodopsin,Vasopressin and oxytocin receptors,established,1537,"nocdurna,  desmopressin",Antidiuretic,4,,-,approved,1978,,15613460|14971638|18655906
260,desmopressin,peptide,Peptide,agonist,,primary,AVPR2,v2r_human,P30518,Class A (Rhodopsin),GPCR;Rhodopsin,Vasopressin and oxytocin receptors,established,1537,"nocdurna,  desmopressin",Antidiuretic,4,,-,approved,1978,,18761325|16333859|11752352
261,dexbrompheniramine,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,NRDD153,-,Anti-Allergic,4,,-,approved,1963,,9691225|1680053|1970615|7714410|19085565|11752352
262,dexchlorpheniramine,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,ASH_Sep2016_238,dexchlorpheniramine,sunburn,4,,-,approved,1981,,374215
263,dexmedetomidine,small molecule,Aminergic ,agonist,,primary,ADRA2B,ada2b_human,P18089,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_130,dexmedetomidine,Analgesics,4,,-,approved,1999,,15306201
264,dexmedetomidine,small molecule,Aminergic ,agonist,,primary,ADRA2C,ada2c_human,P18825,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_149,dexmedetomidine,Antineoplastic,4,,-,approved,1999,,15306201
265,dexmedetomidine,small molecule,Aminergic ,agonist,,primary,ADRA2A,ada2a_human,P08913,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD155,-,Analgesics; Hypnotics and Sedatives,4,,-,approved,1999,,11752127|11834617|14583739|15087625|15306201|17692748
266,dezocine,small molecule,Peptide,partial agonist,,primary,OPRK1,oprk_human,P41145,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,NRDD157,-,Analgesics,4,,-,approved,1989,,17139284|17016423|16433932|11752352
267,dezocine,small molecule,Peptide,partial agonist,,primary,OPRM1,oprm_human,P35372,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,NRDD157,-,Analgesics,4,,-,approved,1989,,9399970|11702089|10958085|12513698|9972766|1361946
268,dicyclomine,small molecule,Aminergic ,antagonist,,primary,CHRM1,acm1_human,P11229,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD162,-,Antispasmodics,4,,-,approved,1950,,17139284|17016423|19533734|11752352
269,difenoxin,small molecule,Peptide,agonist,,primary,OPRM1,oprm_human,P35372,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,ASH_Sep2016_271,difenoxin,recurrent infection of the gastrointestinal tract,4,,-,approved,1978,,8386327
270,dihydrocodeine,small molecule,Peptide,agonist,,primary,OPRM1,oprm_human,P35372,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,ASH_Sep2016_269,dihydrocodeine,Analgesics,4,,-,approved,1958,,12665158
271,dihydroergotamine,small molecule,Aminergic ,agonist,,primary,HTR1B,5ht1b_human,P28222,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,1214,"map-0004, tempo migraine,levadex",Anti-migraine,4,,-,approved,1997,,10455274|14744615|1660351|8622623|9650800
272,dihydroergotamine,small molecule,Aminergic ,agonist,,primary,HTR1B,5ht1b_human,P28222,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,1356,mt 300,Anti-migraine,4,,-,approved,1997,,10455274|14744615|1660351|8622623|9650800
273,dihydroergotamine,small molecule,Aminergic ,agonist,,primary,HTR1D,5ht1d_human,P28221,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,1214,"map-0004, tempo migraine,levadex",Anti-migraine,4,,-,approved,1997,,11752352|9605573|1379707|1324091|12558771|1407010|14744615
274,dihydroergotamine,small molecule,Aminergic ,agonist,,primary,HTR1D,5ht1d_human,P28221,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,1356,mt 300,Anti-migraine,4,,-,approved,1997,,11752352|9605573|1379707|1324091|12558771|1407010|14744615
275,dimenhydrinate,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,NRDD170,-,Antiemetics,4,,-,approved,1972,,11752352|11835984
276,dimetindene,small molecule,Aminergic ,antagonist,,primary,CHRM2,acm2_human,P08172,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,ASH_Oct2016_360,dimetindene,Anti-Allergic,4,,-,approved,-,,8608784
277,dimetindene,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,ASH_Oct2016_357,dimetindene,Anti-Allergic,4,,-,approved,-,,20800486|8608784
278,dinoprost tromethamine,small molecule,Lipid ,agonist,,primary,PTGIR,pi2r_human,P43119,Class A (Rhodopsin),GPCR;Rhodopsin,Prostanoid receptors,established,NRDD171,-,Abortifacient,4,,-,approved,1981,,17139284|17016423|11752352
279,dinoprostone,small molecule,Lipid ,agonist,,primary,PTGER4,pe2r4_human,P35408,Class A (Rhodopsin),GPCR;Rhodopsin,Prostanoid receptors,established,NRDD172,-,Abortifacient,4,,-,approved,1977,,16545798|18715952|20599704|19788928|17329241
280,dinoprostone,small molecule,Lipid ,agonist,,primary,PTGER1,pe2r1_human,P34995,Class A (Rhodopsin),GPCR;Rhodopsin,Prostanoid receptors,established,NRDD172,-,Abortifacient,4,,-,approved,1977,,18715952|20599704|19788928|17329241
281,dinoprostone,small molecule,Lipid ,agonist,,primary,PTGER3,pe2r3_human,P43115,Class A (Rhodopsin),GPCR;Rhodopsin,Prostanoid receptors,established,NRDD172,-,Abortifacient,4,,-,approved,1977,,18715952|20599704|19788928|17329241
282,dinoprostone,small molecule,Lipid ,agonist,,primary,PTGER2,pe2r2_human,P43116,Class A (Rhodopsin),GPCR;Rhodopsin,Prostanoid receptors,established,NRDD172,-,Abortifacient,4,,-,approved,1977,,18715952|20599704|19788928|17329241|11752352
283,diphemanil,small molecule,Aminergic ,antagonist,,primary,CHRM3,acm3_human,P20309,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD173,-,Bronchodilator,4,,-,approved,1976,,6450282
284,diphenhydramine,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,NRDD174,-,Anti-Allergic ; Hypnotics and sedatives; Antiemetics; Antipruritics; Antitussives,4,,-,approved,1946,,11752352|17169617|16702624|17390763|17196194|17329841|2878016
285,diphenidol,small molecule,Aminergic ,antagonist,,primary,CHRM2,acm2_human,P08172,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD175,-,Antiemetics,4,,-,approved,1967,,10497897|9851542|9454790|9059856|8050463|12185001|10530931|1863523
286,diphenidol,small molecule,Aminergic ,antagonist,,primary,CHRM3,acm3_human,P20309,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD175,-,Antiemetics,4,,-,approved,1967,,17139284|17016423|12185001|10530931|1863523
287,diphenidol,small molecule,Aminergic ,antagonist,,primary,CHRM1,acm1_human,P11229,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD175,-,Antiemetics,4,,-,approved,1967,,17139284|17016423|1863523
288,diphenoxylate,small molecule,Peptide,agonist,,primary,OPRM1,oprm_human,P35372,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,NRDD176,-,Antidiuretic,4,,-,approved,1960,,11752352|18192961|10202212|8583364|8386327
289,diphenylpyraline,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,NRDD177,-,Anti-Allergic,4,,-,approved,1982,,17139284|17016423|1912125|1678430|18977145|15627433|11752352
290,dipivefrin,small molecule,Aminergic ,agonist,,primary,ADRB2,adrb2_human,P07550,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_185,dipivefrin,Antiglaucomic,4,,-,approved,1980,,11752352|17622774|17417877|17597612
291,dipivefrin,small molecule,Aminergic ,agonist,,primary,ADRA2A,ada2a_human,P08913,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD178,-,opthalmological,4,,-,approved,1980,,17139284|17016423
292,dipivefrin,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_88,dipivefrin,Antiglaucomic,4,,-,approved,1980,,17603545|17658513
293,dobutamine,small molecule,Aminergic ,agonist,,primary,ADRB1,adrb1_human,P08588,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD182,-,Cardiotonic,4,,-,approved,1978,,12098582|15564877|16325050|16627864|11752352
294,dopamine,small molecule,Aminergic ,agonist,,primary,ADRB1,adrb1_human,P08588,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_169,dopamine,hypotension,4,,-,approved,1974,endogenous ligand,23241039
295,doxacurium,small molecule,Aminergic ,antagonist,,primary,CHRM2,acm2_human,P08172,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD185,-,Muscle Relaxants,4,,-,approved,1991,,9523819
296,doxacurium,small molecule,Aminergic ,antagonist,,primary,CHRM2,acm2_human,P08172,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD186,-,Muscle Relaxants,4,,-,approved,1991,,9523819
297,doxazosin,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD187,-,Anticholesteremic ; Antihypertensive ; Vasodilator,4,,-,approved,1990,,15573147|8736427|14767264|9205965|16225542|19002123|17070143|10393471|11752352
298,doxazosin,small molecule,Aminergic ,antagonist,,primary,ADRA1B,ada1b_human,P35368,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD187,-,Anticholesteremic ; Antihypertensive ; Vasodilator,4,,-,approved,1990,,18231614|19002123|17070143|10393471
299,doxazosin,small molecule,Aminergic ,antagonist,,primary,ADRA1D,ada1d_human,P25100,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD187,-,Anticholesteremic ; Antihypertensive ; Vasodilator,4,,-,approved,1990,,18231614|19002123|17070143|10393471
300,doxepin,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,1851,silenor (so-101),Hypnotics and Sedatives,4,,-,approved,1969,,15286093|7238574|15255990|3011460|6086881|7855217|19179941|17685877|2141000|11752352
301,doxepin,small molecule,Aminergic ,antagonist,,primary,HRH2,hrh2_human,P25021,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,1851,silenor (so-101),Hypnotics and Sedatives,4,,-,approved,1969,,2897127|2141000
302,doxepin,small molecule,Aminergic ,antagonist,,primary,CHRM1,acm1_human,P11229,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1851,silenor (so-101),Hypnotics and Sedatives,4,,-,approved,1969,,7855217|19179941|2329499|2141000
